,index,0,0
0,0,0.6622418761253357,0.7340052127838135
1,1,0.7623783349990845,0.8223003149032593
2,2,0.7855738997459412,0.7900332808494568
3,3,0.7980620265007019,0.7868897914886475
4,4,0.8093013763427734,0.823502242565155
5,5,0.8154991865158081,0.8151811957359314
6,6,0.8223214149475098,0.8116679191589355
7,7,0.825744092464447,0.848557710647583
8,8,0.8327975869178772,0.83478182554245
9,9,0.835503339767456,0.8421782851219177
10,10,0.8858722448348999,0.8933061957359314
11,11,0.9203071594238281,0.8958950042724609
12,12,0.9354316592216492,0.9007026553153992
13,13,0.9456303119659424,0.9134615659713745
14,14,0.955759584903717,0.9140163064002991
15,15,0.9636918902397156,0.9236316680908203
16,16,0.9676696062088013,0.9249260425567627
17,17,0.9744918346405029,0.9295487999916077
18,18,0.9783307909965515,0.9188239574432373
19,19,0.9868412017822266,0.9350036978721619
